lib,arg_name,default,description
catboost,iterations,No default,"Max count of trees.
range: [1,+inf)"
catboost,learning_rate,No default,"Step size shrinkage used in update to prevents overfitting.
range: (0,1]"
catboost,depth,No default,"Depth of a tree. All trees are the same depth.
range: [1,16]"
catboost,l2_leaf_reg,No default,"Coefficient at the L2 regularization term of the cost function.
range: [0,+inf)"
catboost,model_size_reg,No default,"Model size regularization coefficient.
range: [0,+inf)"
catboost,rsm,No default,"Subsample ratio of columns when constructing each tree.
range: (0,1]"
catboost,loss_function,No default,"The metric to use in training and also selector of the machine learning
problem to solve. If string, then the name of a supported metric,
optionally suffixed with parameter description.
If object, it shall provide methods 'calc_ders_range' or 'calc_ders_multi'."
catboost,border_count,No default,"The number of partitions in numeric features binarization. Used in the preliminary calculation.
range: [1,65535] on CPU, [1,255] on GPU"
catboost,feature_border_type,No default,"The binarization mode in numeric features binarization. Used in the preliminary calculation.
Possible values:
    - 'Median'
    - 'Uniform'
    - 'UniformAndQuantiles'
    - 'GreedyLogSum'
    - 'MaxLogSum'
    - 'MinEntropy'"
catboost,per_float_feature_quantization,No default,"List of float binarization descriptions.
Format : described in documentation on catboost.ai
Example 1: ['0:1024'] means that feature 0 will have 1024 borders.
Example 2: ['0:border_count=1024', '1:border_count=1024', ...] means that two first features have 1024 borders.
Example 3: ['0:nan_mode=Forbidden,border_count=32,border_type=GreedyLogSum',
            '1:nan_mode=Forbidden,border_count=32,border_type=GreedyLogSum'] - defines more quantization properties for first two features."
catboost,input_borders,No default,input file with borders used in numeric features binarization.
catboost,output_borders,No default,output file for borders that were used in numeric features binarization.
catboost,fold_permutation_block,No default,"To accelerate the learning.
The recommended value is within [1, 256]. On small samples, must be set to 1.
range: [1,+inf)"
catboost,od_pval,No default,"Use overfitting detector to stop training when reaching a specified threshold.
Can be used only with eval_set.
range: [0,1]"
catboost,od_wait,No default,Number of iterations which overfitting detector will wait after new best error.
catboost,od_type,No default,"Type of overfitting detector which will be used in program.
Posible values:
    - 'IncToDec'
    - 'Iter'
For 'Iter' type od_pval must not be set.
If None, then od_type=IncToDec."
catboost,nan_mode,No default,"Way to process missing values for numeric features.
Possible values:
    - 'Forbidden' - raises an exception if there is a missing value for a numeric feature in a dataset.
    - 'Min' - each missing value will be processed as the minimum numerical value.
    - 'Max' - each missing value will be processed as the maximum numerical value.
If None, then nan_mode=Min."
catboost,counter_calc_method,No default,"The method used to calculate counters for dataset with Counter type.
Possible values:
    - 'PrefixTest' - only objects up to current in the test dataset are considered
    - 'FullTest' - all objects are considered in the test dataset
    - 'SkipTest' - Objects from test dataset are not considered
    - 'Full' - all objects are considered for both learn and test dataset
If None, then counter_calc_method=PrefixTest."
catboost,leaf_estimation_iterations,No default,"The number of steps in the gradient when calculating the values in the leaves.
If None, then leaf_estimation_iterations=1.
range: [1,+inf)"
catboost,leaf_estimation_method,No default,"The method used to calculate the values in the leaves.
Possible values:
    - 'Newton'
    - 'Gradient'"
