algorithm,parameter_name,typeinfo,default,description,optional
CatBoostClassifier,iterations,int,500,"Max count of trees.
range: [1,+inf)",True
CatBoostClassifier,learning_rate,float,no default,"Step size shrinkage used in update to prevents overfitting.
range: (0,1]",True
CatBoostClassifier,depth,int,6,"Depth of a tree. All trees are the same depth.
range: [1,16]",True
CatBoostClassifier,l2_leaf_reg,float,3.0,"Coefficient at the L2 regularization term of the cost function.
range: [0,+inf)",True
CatBoostClassifier,model_size_reg,float,None,"Model size regularization coefficient.
range: [0,+inf)",True
CatBoostClassifier,rsm,float,None,"Subsample ratio of columns when constructing each tree.
range: (0,1]",True
CatBoostClassifier,loss_function,"string, object",'Logloss',"The metric to use in training and also selector of the machine learning
problem to solve. If string, then the name of a supported metric,
optionally suffixed with parameter description.
If object, it shall provide methods 'calc_ders_range' or 'calc_ders_multi'.",True
CatBoostClassifier,border_count,int,no default,"The number of partitions in numeric features binarization. Used in the preliminary calculation.
range: [1,65535] on CPU, [1,255] on GPU",True
CatBoostClassifier,feature_border_type,string,'GreedyLogSum',"The binarization mode in numeric features binarization. Used in the preliminary calculation.
Possible values:
    - 'Median'
    - 'Uniform'
    - 'UniformAndQuantiles'
    - 'GreedyLogSum'
    - 'MaxLogSum'
    - 'MinEntropy'",True
CatBoostClassifier,per_float_feature_quantization,list of strings,None,"List of float binarization descriptions.
Format : described in documentation on catboost.ai
Example 1: ['0:1024'] means that feature 0 will have 1024 borders.
Example 2: ['0:border_count=1024', '1:border_count=1024', ...] means that two first features have 1024 borders.
Example 3: ['0:nan_mode=Forbidden,border_count=32,border_type=GreedyLogSum',
            '1:nan_mode=Forbidden,border_count=32,border_type=GreedyLogSum'] - defines more quantization properties for first two features.",True
CatBoostClassifier,input_borders,"string, pathlib.Path",None,input file with borders used in numeric features binarization.,True
CatBoostClassifier,output_borders,string,None,output file for borders that were used in numeric features binarization.,True
CatBoostClassifier,fold_permutation_block,int,1,"To accelerate the learning.
The recommended value is within [1, 256]. On small samples, must be set to 1.
range: [1,+inf)",True
CatBoostClassifier,od_pval,float,None,"Use overfitting detector to stop training when reaching a specified threshold.
Can be used only with eval_set.
range: [0,1]",True
CatBoostClassifier,od_wait,int,None,Number of iterations which overfitting detector will wait after new best error.,True
CatBoostClassifier,od_type,string,None,"Type of overfitting detector which will be used in program.
Posible values:
    - 'IncToDec'
    - 'Iter'
For 'Iter' type od_pval must not be set.
If None, then od_type=IncToDec.",True
CatBoostClassifier,nan_mode,string,None,"Way to process missing values for numeric features.
Possible values:
    - 'Forbidden' - raises an exception if there is a missing value for a numeric feature in a dataset.
    - 'Min' - each missing value will be processed as the minimum numerical value.
    - 'Max' - each missing value will be processed as the maximum numerical value.
If None, then nan_mode=Min.",True
CatBoostClassifier,counter_calc_method,string,None,"The method used to calculate counters for dataset with Counter type.
Possible values:
    - 'PrefixTest' - only objects up to current in the test dataset are considered
    - 'FullTest' - all objects are considered in the test dataset
    - 'SkipTest' - Objects from test dataset are not considered
    - 'Full' - all objects are considered for both learn and test dataset
If None, then counter_calc_method=PrefixTest.",True
CatBoostClassifier,leaf_estimation_iterations,int,None,"The number of steps in the gradient when calculating the values in the leaves.
If None, then leaf_estimation_iterations=1.
range: [1,+inf)",True
CatBoostClassifier,leaf_estimation_method,string,None,"The method used to calculate the values in the leaves.
Possible values:
    - 'Newton'
    - 'Gradient'",True
CatBoostClassifier,thread_count,int,None,"Number of parallel threads used to run CatBoost.
If None or -1, then the number of threads is set to the number of CPU cores.
range: [1,+inf)",True
CatBoostClassifier,random_seed,int,None,"Random number seed.
If None, 0 is used.
range: [0,+inf)",True
CatBoostClassifier,use_best_model,bool,None,"To limit the number of trees in predict() using information about the optimal value of the error function.
Can be used only with eval_set.",True
CatBoostClassifier,best_model_min_trees,int,None,The minimal number of trees the best model should have.,True
CatBoostClassifier,verbose,bool,no default,"When set to True, logging_level is set to 'Verbose'.
When set to False, logging_level is set to 'Silent'.",True
CatBoostClassifier,silent,bool,no default,No description,True
CatBoostClassifier,logging_level,string,'Verbose',"Possible values:
    - 'Silent'
    - 'Verbose'
    - 'Info'
    - 'Debug'",True
CatBoostClassifier,metric_period,int,1,The frequency of iterations to print the information to stdout. The value should be a positive integer.,True
CatBoostClassifier,simple_ctr,list of strings,None,"Binarization settings for categorical features.
    Format : see documentation
    Example: ['Borders:CtrBorderCount=5:Prior=0:Prior=0.5', 'BinarizedTargetMeanValue:TargetBorderCount=10:TargetBorderType=MinEntropy', ...]
    CTR types:
        CPU and GPU
        - 'Borders'
        - 'Buckets'
        CPU only
        - 'BinarizedTargetMeanValue'
        - 'Counter'
        GPU only
        - 'FloatTargetMeanValue'
        - 'FeatureFreq'
    Number_of_borders, binarization type, target borders and binarizations, priors are optional parametrs",True
CatBoostClassifier,combinations_ctr,list of strings,None,No description,True
CatBoostClassifier,per_feature_ctr,list of strings,None,No description,True
CatBoostClassifier,ctr_target_border_count,int,None,"Maximum number of borders used in target binarization for categorical features that need it.
If TargetBorderCount is specified in 'simple_ctr', 'combinations_ctr' or 'per_feature_ctr' option it
overrides this value.
range: [1, 255]",True
CatBoostClassifier,ctr_leaf_count_limit,int,None,"The maximum number of leaves with categorical features.
If the number of leaves exceeds the specified limit, some leaves are discarded.
The leaves to be discarded are selected as follows:
    - The leaves are sorted by the frequency of the values.
    - The top N leaves are selected, where N is the value specified in the parameter.
    - All leaves starting from N+1 are discarded.
This option reduces the resulting model size
and the amount of memory required for training.
Note that the resulting quality of the model can be affected.
range: [1,+inf) (for zero limit use ignored_features)",True
CatBoostClassifier,store_all_simple_ctr,bool,None,"Ignore categorical features, which are not used in feature combinations,
when choosing candidates for exclusion.
Use this parameter with ctr_leaf_count_limit only.",True
CatBoostClassifier,max_ctr_complexity,int,4,"The maximum number of Categ features that can be combined.
range: [0,+inf)",True
CatBoostClassifier,has_time,bool,False,"To use the order in which objects are represented in the input data
(do not perform a random permutation of the dataset at the preprocessing stage).",True
CatBoostClassifier,allow_const_label,bool,False,To allow the constant label value in dataset.,True
CatBoostClassifier,target_border,float,None,Border for target binarization.,True
CatBoostClassifier,classes_count,int,None,"The upper limit for the numeric class label.
Defines the number of classes for multiclassification.
Only non-negative integers can be specified.
The given integer should be greater than any of the target values.
If this parameter is specified the labels for all classes in the input dataset
should be smaller than the given value.
If several of 'classes_count', 'class_weights', 'class_names' parameters are defined
the numbers of classes specified by each of them must be equal.",True
CatBoostClassifier,class_weights,"list, dict",None,"Classes weights. The values are used as multipliers for the object weights.
If None, all classes are supposed to have weight one.
If list - class weights in order of class_names or sequential classes if class_names is undefined
If dict - dict of class_name -> class_weight.
If several of 'classes_count', 'class_weights', 'class_names' parameters are defined
the numbers of classes specified by each of them must be equal.",True
CatBoostClassifier,auto_class_weights,string ,None,"Enables automatic class weights calculation. Possible values:
    - Balanced  # weight = maxSummaryClassWeight / summaryClassWeight, statistics determined from train pool
    - SqrtBalanced  # weight = sqrt(maxSummaryClassWeight / summaryClassWeight)",True
CatBoostClassifier,class_names,list of strings,None,"Class names. Allows to redefine the default values for class labels (integer numbers).
If several of 'classes_count', 'class_weights', 'class_names' parameters are defined
the numbers of classes specified by each of them must be equal.",True
CatBoostClassifier,one_hot_max_size,int,None,"Convert the feature to float
if the number of different values that it takes exceeds the specified value.
Ctrs are not calculated for such features.",True
CatBoostClassifier,random_strength,float,1,Score standard deviation multiplier.,True
CatBoostClassifier,random_score_type,string ,None,"Type of random noise added to scores.
Possible values:
    - 'Gumbel' - Gumbel-distributed
    - 'NormalWithModelSizeDecrease' - Normally-distributed with deviation decreasing with model iteration count
If None than 'NormalWithModelSizeDecrease' will be used by default.",True
CatBoostClassifier,name,string,'experiment',The name that should be displayed in the visualization tools.,True
CatBoostClassifier,ignored_features,list,None,Indices or names of features that should be excluded when training.,True
CatBoostClassifier,train_dir,"string, pathlib.Path",None,The directory in which you want to record generated in the process of learning files.,True
CatBoostClassifier,custom_metric,"string, list of strings",None,To use your own metric function.,True
CatBoostClassifier,custom_loss,alias to custom_metric,no default,No description,True
CatBoostClassifier,eval_metric,"string, object",None,To optimize your custom metric in loss.,True
CatBoostClassifier,bagging_temperature,float,None,"Controls intensity of Bayesian bagging. The higher the temperature the more aggressive bagging is.
Typical values are in range [0, 1] (0 - no bagging, 1 - default).",True
CatBoostClassifier,save_snapshot,bool,None,Enable progress snapshotting for restoring progress after crashes or interruptions,True
CatBoostClassifier,snapshot_file,"string, pathlib.Path",None,"Learn progress snapshot file path, if None will use default filename",True
CatBoostClassifier,snapshot_interval,int,600,Interval between saving snapshots (seconds),True
CatBoostClassifier,fold_len_multiplier,float,None,Fold length multiplier. Should be greater than 1,True
CatBoostClassifier,used_ram_limit,"string, number",None,"Set a limit on memory consumption (value like '1.2gb' or 1.2e9).
WARNING: Currently this option affects CTR memory usage only.",True
CatBoostClassifier,gpu_ram_part,float,0.95,"Fraction of the GPU RAM to use for training, a value from (0, 1].",True
CatBoostClassifier,pinned_memory_size,int ,None,"Size of additional CPU pinned memory used for GPU learning,
usually is estimated automatically, thus usually should not be set.",True
CatBoostClassifier,allow_writing_files,bool,True,"If this flag is set to False, no files with different diagnostic info will be created during training.
With this flag no snapshotting can be done. Plus visualisation will not
work, because visualisation uses files that are created and updated during training.",True
CatBoostClassifier,final_ctr_computation_mode,string,'Default',"Possible values:
    - 'Default' - Compute final ctrs for all pools.
    - 'Skip' - Skip final ctr computation. WARNING: model without ctrs can't be applied.",True
CatBoostClassifier,approx_on_full_history,bool,False,"If this flag is set to True, each approximated value is calculated using all the preceeding rows in the fold (slower, more accurate).
If this flag is set to False, each approximated value is calculated using only the beginning 1/fold_len_multiplier fraction of the fold (faster, slightly less accurate).",True
CatBoostClassifier,boosting_type,string,no default,"Boosting scheme.
Possible values:
    - 'Ordered' - Gives better quality, but may slow down the training.
    - 'Plain' - The classic gradient boosting scheme. May result in quality degradation, but does not slow down the training.",True
CatBoostClassifier,task_type,string,None,"The calcer type used to train the model.
Possible values:
    - 'CPU'
    - 'GPU'",True
CatBoostClassifier,device_config,string,None,No description,True
CatBoostClassifier,devices,"list, string",None,"String format is: '0' for 1 device or '0:1:3' for multiple devices or '0-3' for range of devices.
List format is : [0] for 1 device or [0,1,3] for multiple devices.",True
CatBoostClassifier,bootstrap_type,string,no default,"Default bootstrap is Bayesian for GPU and MVS for CPU.
Poisson bootstrap is supported only on GPU.
MVS bootstrap is supported only on GPU.",True
CatBoostClassifier,subsample,float,None,Sample rate for bagging. This parameter can be used Poisson or Bernoully bootstrap types.,True
CatBoostClassifier,mvs_reg,float,no default,Regularization parameter for MVS sampling algorithm,True
CatBoostClassifier,monotone_constraints,"list, numpy.ndarray, string, dict",None,Monotone constraints for features.,True
CatBoostClassifier,feature_weights,"list, numpy.ndarray, string, dict",None,Coefficient to multiply split gain with specific feature use. Should be non-negative.,True
CatBoostClassifier,penalties_coefficient,float,1,Common coefficient for all penalties. Should be non-negative.,True
CatBoostClassifier,first_feature_use_penalties,"list, numpy.ndarray, string, dict",None,Penalties to first use of specific feature in model. Should be non-negative.,True
CatBoostClassifier,per_object_feature_penalties,"list, numpy.ndarray, string, dict",None,Penalties for first use of feature for each object. Should be non-negative.,True
CatBoostClassifier,sampling_frequency,string,PerTree,"Frequency to sample weights and objects when building trees.
Possible values:
    - 'PerTree' - Before constructing each new tree
    - 'PerTreeLevel' - Before choosing each new split of a tree",True
CatBoostClassifier,sampling_unit,string,'Object',"Possible values:
    - 'Object'
    - 'Group'
The parameter allows to specify the sampling scheme:
sample weights for each object individually or for an entire group of objects together.",True
CatBoostClassifier,dev_score_calc_obj_block_size,int,5000000,"CPU only. Size of block of samples in score calculation. Should be > 0
Used only for learning speed tuning.
Changing this parameter can affect results due to numerical accuracy differences",True
CatBoostClassifier,dev_efb_max_buckets,int,1024,"CPU only. Maximum bucket count in exclusive features bundle. Should be in an integer between 0 and 65536.
Used only for learning speed tuning.",True
CatBoostClassifier,sparse_features_conflict_fraction,float,0.0,"CPU only. Maximum allowed fraction of conflicting non-default values for features in exclusive features bundle.
Should be a real value in [0, 1) interval.",True
CatBoostClassifier,grow_policy,string,SymmetricTree,The tree growing policy. It describes how to perform greedy tree construction.,True
CatBoostClassifier,min_data_in_leaf,int,1,"The minimum training samples count in leaf.
CatBoost will not search for new splits in leaves with samples count less than min_data_in_leaf.
This parameter is used only for Depthwise and Lossguide growing policies.",True
CatBoostClassifier,max_leaves,int,31,"The maximum leaf count in resulting tree.
This parameter is used only for Lossguide growing policy.",True
CatBoostClassifier,score_function,string,Cosine,"For growing policy Lossguide default=NewtonL2.
GPU only. Score that is used during tree construction to select the next tree split.",True
CatBoostClassifier,max_depth,int,no default,No description,True
CatBoostClassifier,n_estimators,int,no default,No description,True
CatBoostClassifier,num_trees,int,no default,No description,True
CatBoostClassifier,num_boost_round,int,no default,No description,True
CatBoostClassifier,colsample_bylevel,float,no default,No description,True
CatBoostClassifier,random_state,int,no default,No description,True
CatBoostClassifier,reg_lambda,float,no default,No description,True
CatBoostClassifier,objective,string,no default,No description,True
CatBoostClassifier,num_leaves,int,no default,No description,True
CatBoostClassifier,min_child_samples,int,no default,No description,True
CatBoostClassifier,eta,float,no default,No description,True
CatBoostClassifier,max_bin,float,no default,No description,True
CatBoostClassifier,scale_pos_weight,float,no default,"Can be used only for binary classification. Sets weight multiplier for
class 1 to scale_pos_weight value.",True
CatBoostClassifier,metadata,dict,no default,No description,True
CatBoostClassifier,early_stopping_rounds,int,no default,Synonym for od_wait. Only one of these parameters should be set.,True
CatBoostClassifier,cat_features,"list, numpy.ndarray",None,"If not None, giving the list of Categ features indices or names (names are represented as strings).
If it contains feature names, feature names must be defined for the training dataset passed to 'fit'.",True
CatBoostClassifier,text_features,"list, numpy.ndarray",None,"If not None, giving the list of Text features indices or names (names are represented as strings).
If it contains feature names, feature names must be defined for the training dataset passed to 'fit'.",True
CatBoostClassifier,embedding_features,"list, numpy.ndarray",None,"If not None, giving the list of Embedding features indices or names (names are represented as strings).
If it contains feature names, feature names must be defined for the training dataset passed to 'fit'.",True
CatBoostClassifier,leaf_estimation_backtracking,string,None,"Type of backtracking during gradient descent.
Possible values:
    - 'No' - never backtrack; supported on CPU and GPU
    - 'AnyImprovement' - reduce the descent step until the value of loss function is less than before the step; supported on CPU and GPU
    - 'Armijo' - reduce the descent step until Armijo condition is satisfied; supported on GPU only",True
CatBoostClassifier,model_shrink_rate,float,0,"This parameter enables shrinkage of model at the start of each iteration. CPU only.
For Constant mode shrinkage coefficient is calculated as (1 - model_shrink_rate * learning_rate).
For Decreasing mode shrinkage coefficient is calculated as (1 - model_shrink_rate / iteration).
Shrinkage coefficient should be in [0, 1).",True
