lib,arg_name,default,description
xgboost,n_estimators,No default,Number of boosting rounds.
xgboost,max_depth,No default,Maximum tree depth for base learners.
xgboost,max_leaves,No default,"Maximum number of leaves, 0 indicates no limit."
xgboost,max_bin,No default,"If using histogram-based algorithm, maximum number of bins per feature"
xgboost,grow_policy,No default,"Tree growing policy. 0: favor splitting at nodes closest to the node, i.e. grow
depth-wise. 1: favor splitting at nodes with highest loss change."
xgboost,learning_rate,No default,"Boosting learning rate (xgb's ""eta"")"
xgboost,verbosity,No default,The degree of verbosity. Valid values are 0 (silent) - 3 (debug).
xgboost,objective,No default,"Specify the learning task and the corresponding learning objective or
a custom objective function to be used (see note below)."
xgboost,booster,No default,"Specify which booster to use: gbtree, gblinear or dart."
xgboost,tree_method,to,"Specify which tree method to use.  Default to auto.  If this parameter is set to
default, XGBoost will choose the most conservative option available.  It's
recommended to study this option from the parameters document :doc:`tree method
</treemethod>`"
xgboost,n_jobs,No default,"Number of parallel threads used to run xgboost.  When used with other
Scikit-Learn algorithms like grid search, you may choose which algorithm to
parallelize and balance the threads.  Creating thread contention will
significantly slow down both algorithms."
xgboost,gamma,No default,"(min_split_loss) Minimum loss reduction required to make a further partition on a
leaf node of the tree."
xgboost,min_child_weight,No default,Minimum sum of instance weight(hessian) needed in a child.
xgboost,max_delta_step,No default,Maximum delta step we allow each tree's weight estimation to be.
xgboost,subsample,No default,Subsample ratio of the training instance.
xgboost,sampling_method,No default,"Sampling method. Used only by the GPU version of ``hist`` tree method.
  - ``uniform``: select random training instances uniformly.
  - ``gradient_based`` select random training instances with higher probability
    when the gradient and hessian are larger. (cf. CatBoost)"
xgboost,colsample_bytree,No default,Subsample ratio of columns when constructing each tree.
xgboost,colsample_bylevel,No default,Subsample ratio of columns for each level.
xgboost,colsample_bynode,No default,Subsample ratio of columns for each split.
xgboost,reg_alpha,No default,L1 regularization term on weights (xgb's alpha).
xgboost,reg_lambda,No default,L2 regularization term on weights (xgb's lambda).
xgboost,scale_pos_weight,No default,Balancing of positive and negative weights.
xgboost,base_score,No default,"The initial prediction score of all instances, global bias."
xgboost,random_state,No default,"Random number seed.

.. note::

   Using gblinear booster with shotgun updater is nondeterministic as
   it uses Hogwild algorithm."
xgboost,missing,No default,Value in the data which needs to be present as a missing value.
xgboost,num_parallel_tree,No default,Used for boosting random forest.
xgboost,monotone_constraints,No default,"Constraint of variable monotonicity.  See :doc:`tutorial </tutorials/monotonic>`
for more information."
